prompt,response,status,Recommended food
Why should I not eat Orange with Diabetes?,"No, it is generally recommended to avoid or limit Orange if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Gooseberry and Diabetes.,"No, it is generally recommended to avoid or limit Gooseberry if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Potato and Kidney Disease.,"No, it is generally recommended to avoid or limit Potato if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Is Blueberry good for Diabetes?,"Yes, Blueberry is generally considered beneficial for managing Diabetes. This is primarily because High fiber, lower GI.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Tell me about Fenugreek leaves (methi) and Obesity.,"Yes, Fenugreek leaves (methi) is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What is the impact of eating Oats on Diabetes?,"Yes, Oats is generally considered beneficial for managing Diabetes. This is primarily because Rich in soluble fiber.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
Why is Mustard greens recommended for Obesity?,"Yes, Mustard greens is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Tell me about Chicken wings and Obesity.,"No, it is generally recommended to avoid or limit Chicken wings if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
What is the impact of eating Lychee on Diabetes?,"No, it is generally recommended to avoid or limit Lychee if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Does Cake worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Cake if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Yam affect Kidney Disease?,"No, it is generally recommended to avoid or limit Yam if you have Kidney Disease. The main reason is that High in potassium.",Avoid,"Avoid: Bananas, tomatoes, potatoes (too high in potassium) and dark colas (high in phosphorus). Instead try: Air-popped popcorn, rice cakes, or fresh cucumber and apple slices."
Does Plum worsen Blood Glucose levels for people with Diabetes?,"No, it is generally recommended to avoid or limit Plum if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is Dragon fruit bad for Diabetes?,"No, it is generally recommended to avoid or limit Dragon fruit if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
What are the benefits of eating Coriander for Obesity?,"Yes, Coriander is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
What are the risks of eating Toffee with Diabetes?,"No, it is generally recommended to avoid or limit Toffee if you have Diabetes. The main reason is that Very high in sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Why should I not eat Date with Diabetes?,"No, it is generally recommended to avoid or limit Date if you have Diabetes. The main reason is that Very high concentrated sugar.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Tell me about Watermelon and Diabetes.,"No, it is generally recommended to avoid or limit Watermelon if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Plum if I have Diabetes?,"No, it is generally recommended to avoid or limit Plum if you have Diabetes. The main reason is that High in natural sugars.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Should I avoid Sliders if I have Obesity?,"No, it is generally recommended to avoid or limit Sliders if you have Obesity. The main reason is that High in calories, fats, and/or sugar.",Avoid,"Avoid: Sugary drinks, deep-fried foods, and processed snacks (they contain empty calories). Instead try: Water or herbal tea, baked or grilled foods, and fruits or nuts for snacks."
How does Arugula affect Obesity?,"Yes, Arugula is generally considered beneficial for managing Obesity. This is primarily because Low calorie, high in nutrients.",Good,"Lean proteins (like chicken, fish, and beans to keep you full), Whole grains (like oats and quinoa for long-lasting energy), Vegetables (especially leafy greens, which are high in nutrients and low in calories), Fruits (like berries, which are a healthy way to satisfy a sweet tooth), Avocado (provides healthy fats that help you feel satisfied)"
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Fonio if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
Is there any food I should absolutely avoid for Diabetes?,"No, it is generally recommended to avoid or limit Semolina (Suji) if you have Diabetes. The main reason is that Refined carb, high GI.",Avoid,"Avoid: Sugary drinks, white bread, and pastries (they spike your blood sugar). Instead try: Greek yogurt with berries, apple slices with peanut butter, or a handful of almonds."
How does Spelt affect Diabetes?,"Yes, Spelt is generally considered beneficial for managing Diabetes. This is primarily because High in fiber, complex carb.",Good,"Leafy greens (won't spike your blood sugar), Berries (healthy without raising blood sugar), Chia and flaxseeds (helps your body use insulin better), Lentils (provide steady, long-lasting energy), Cinnamon (may help keep blood sugar levels even)"
What's a healthy food I can eat if I have Heart Disease?,"Yes, Flax seeds is generally considered beneficial for managing Heart Disease. This is primarily because Rich in healthy fats.",Good,"Fatty fish (like salmon, provides healthy fats for a steady heartbeat), Walnuts and flaxseeds (also great for your heart), Olive oil (helps balance cholesterol), Berries (protect blood vessel linings), Whole grains (can lower bad cholesterol)"
